"Name","DefenseValue","BuildingClass","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildCost","TownHallLevel","MaxStoredResource","Bunker","HousingSpace","ProducesResource","ResourcePerHour","ResourceMax","UnitProduction","UpgradesUnits","Hitpoints","RegenTime","AttackRange","AttackSpeed","Damage","AirTargets","GroundTargets","MinAttackRange","DamageRadius","DamageSpread","PushBack","CanNotSellLast","DestructionXP","Locked","Hidden","TriggerRadius","ForgesSpells","CreatesArtifacts","ArtifactType","ArtifactCapacity","DeepseaResourceReward","DeepseaCommonArtifactChance","DeepseaRareArtifactChance","DeepseaEpicArtifactChance","DeepseaRandomFactor","DeepseaPrice","IsMapRoom","StartingEnergy","MaxEnergy","EnergyGain","IsVault","IsHeroHouse","LandingBoats","CanNotMove","IsGlobalBuilding","ExplorableRegions","ReloadTime","ShotsBeforeReload","ResourceProtectionPercent","DamageOverFiveSeconds","CountersArmored","XpGain","TID","InfoTID","SubtitleTID","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ModelName","TextureName","MeshName","Width","Height","Icon","ExportNameBuildAnim","DestroyEffect","AttackEffect","AttackEffect2","AttackEffect3","HitEffect","Projectile","ExportNameDamaged","BuildingW","BuildingH","ExportNameBase","ExportNameBaseNpc","PickUpEffect","PlacingEffect","DefenderCharacter","DefenderCount","DefenderZ","ExportNameTriggered","AppearEffect","MissEffect","VillagerProbability","BuildingReadyEffect","ExportNameBoss","ProjSkewing","ProjYScaling"
"String","int","String","int","int","int","int","String","int","String","boolean","int","String","int","int","int","boolean","int","int","int","int","int","boolean","boolean","int","int","int","boolean","boolean","int","Boolean","Boolean","int","boolean","boolean","int","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","boolean","boolean","int","int","int","int","int","boolean","int","String","String","String","String","String","String","String","String","String","String","int","int","String","String","String","String","String","String","String","String","String","int","int","String","String","String","String","String","int","int","String","String","String","int","String","String","int","int"
"HQ",,"Town Hall",0,0,1,0,"50,0,0",,"0,3000,2000,0,0",,,,,,,,10000,12,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",1,"TID_BUILDING_PALACE","TID_PALACE_INFO","TID_PALACE_SUBTITLE","sc/in-game.sc","townhall_lvl1","headquarters_enemy_lvl1","gen_construction_4",,,,5,5,,"gen_construction_5","Empire HQ Destroyed",,,,,,"gen_destroyed_5",4,4,"main_building_base",,"Building Pickup","Building Placing",,,,,,,10,"Building Ready","npc_fortress_lvl1",10,90
,,,0,0,5,0,"600,0,0",,"0,3000,2000,0,0",,,,,,,,11000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"townhall_lvl2","headquarters_enemy_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,1,0,0,"1900,0,0",,"0,3000,2000,0,0",,,,,,,,12000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,"townhall_lvl2","headquarters_enemy_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,2,0,0,"5900,0,0",,"0,3000,2000,0,0",,,,,,,,14000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,"townhall_lvl2","headquarters_enemy_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,5,0,0,"13000,0,0",,"0,3000,2000,0,0",,,,,,,,16000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,"townhall_lvl3","headquarters_enemy_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,6,0,0,"25000,0,0",,"0,3000,2000,2000,0",,,,,,,,18000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,"townhall_lvl3","headquarters_enemy_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,7,0,0,"33000,5800,0",,"0,3000,2000,2000,0",,,,,,,,20000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,"townhall_lvl3","headquarters_enemy_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,8,0,0,"49000,9800,0",,"0,3000,2000,2000,0",,,,,,,,23000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,"townhall_lvl3","headquarters_enemy_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
,,,0,12,0,0,"81000,17800,0",,"0,3000,2000,2000,2000",,,,,,,,26000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,"townhall_lvl3","headquarters_enemy_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Ready","npc_fortress_lvl1",,
