"Name","HousingSpace","HeroHouseLevel","UnlockTownHallLevel","UpgradeHouseLevel","Speed","Hitpoints","TrainingTime","TrainingCost","UpgradeTimeH","UpgradeCost","MaxAttackRange","AttackRange","AttackSpeed","Damage","LifeLeach","DamageSpread","PreferedTargetDamageMod","DamageRadius","PreferedTargetBuilding","IsFlying","AirTargets","GroundTargets","AttackCount","Energy","EnergyIncrease","UpgradeCostArtifacts","UpgradeCostArtifactResource","RepairCost","IsNpc","CanAttackWhileWalking","Armored","XpGain","TID","InfoTID","SubtitleTID","SWF","SpeedTID","AttackRangeTID","IconSWF","IconExportName","BigPicture","Projectile","DeployEffect","AttackEffect","AttackEffect2","AttackEffect3","HitEffect","DisembarkEffect","DieEffect","Animation","AnimationEnemy","MissEffect"
"String","int","int","int","int","int","int","int","String","int","String","int","int","int","int","int","int","int","int","String","boolean","boolean","boolean","int","int","int","int","String","int","boolean","boolean","boolean","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String"
"Rifleman",1,,1,1,220,140,60,20,2,9500,,470,1000,30,,0,1,,,"false","false","true",,0,1,,,,,,"false",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","sc/in-game.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_assault_troop","unit_assault_troop","Machine Gun Ammo","Troop Deploy Assault Troop","Assault Troop Attack","Attack Small Ground Flash",,"Assault Troop Hit","Assault Troop Disembark","Assault Troop Die","Assault Troop","Assault Troop BG",
,,,,1,,150,,50,3,19500,,,,32,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
,,,,2,,160,,100,6,42000,,,,35,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,
,,,,3,,172,,150,9,83000,,,,38,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
,,,,4,,184,,300,14,140000,,,,41,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,
,,,,5,,196,,380,19,236000,,,,44,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,
,,,,6,,210,,490,25,370000,,,,48,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,
,,,,7,,225,,600,28,540000,,,,52,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,
,,,,8,,241,,800,28,630000,,,,56,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,
,,,,9,,257,,1000,31,710000,,,,61,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,
,,,,10,,275,,1200,38,970000,,,,66,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,
,,,,11,,295,,1500,45,1320000,,,,71,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,
,,,,12,,315,,1800,45,1500000,,,,77,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,
,,,,13,,337,,2200,56,1800000,,,,84,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,
,,,,14,,361,,2600,62,2480000,,,,90,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,
,,,,15,,386,,3300,62,2850000,,,,98,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,
,,,,16,,413,,3900,70,3200000,,,,106,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,
,,,,17,,442,,4600,72,3800000,,,,115,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,
,,,,18,,473,,5000,76,4400000,,,,124,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,
,,,,19,,506,,6000,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
