"NAME","X","Y"
small_a,39,39
small_b,39,39
mainland_a,39,39
mainland_b,39,39
med_a,39,39
enemybase,39,39
playerbase,0,42
playerbase,0,43
playerbase,0,44
playerbase,0,45
playerbase,0,46
playerbase,0,47
playerbase,0,48
playerbase,0,49
playerbase,1,42
playerbase,1,43
playerbase,1,44
playerbase,1,45
playerbase,1,46
playerbase,1,47
playerbase,1,48
playerbase,1,49
playerbase,2,42
playerbase,2,43
playerbase,2,44
playerbase,2,45
playerbase,2,46
playerbase,2,47
playerbase,2,48
playerbase,2,49
playerbase,3,38
playerbase,3,39
playerbase,3,43
playerbase,3,44
playerbase,3,45
playerbase,3,46
playerbase,3,47
playerbase,3,48
playerbase,3,49
playerbase,4,37
playerbase,4,38
playerbase,4,39
playerbase,4,40
playerbase,4,41
playerbase,4,42
playerbase,4,43
playerbase,4,44
playerbase,4,45
playerbase,4,46
playerbase,4,47
playerbase,4,48
playerbase,4,49
playerbase,5,37
playerbase,5,38
playerbase,5,39
playerbase,5,40
playerbase,5,41
playerbase,5,42
playerbase,5,43
playerbase,5,44
playerbase,5,45
playerbase,5,46
playerbase,5,47
playerbase,5,48
playerbase,5,49
playerbase,6,37
playerbase,6,38
playerbase,6,39
playerbase,6,40
playerbase,6,41
playerbase,6,42
playerbase,6,43
playerbase,6,44
playerbase,6,45
playerbase,6,46
playerbase,6,47
playerbase,6,48
playerbase,6,49
playerbase,7,38
playerbase,7,39
playerbase,7,40
playerbase,7,41
playerbase,7,42
playerbase,7,43
playerbase,7,44
playerbase,7,45
playerbase,7,46
playerbase,7,47
playerbase,7,48
playerbase,7,49
playerbase,8,40
playerbase,8,41
playerbase,8,42
playerbase,8,43
playerbase,8,44
playerbase,8,45
playerbase,8,46
playerbase,8,47
playerbase,8,48
playerbase,8,49
playerbase,9,41
playerbase,9,42
playerbase,9,43
playerbase,9,44
playerbase,9,45
playerbase,9,46
playerbase,9,47
playerbase,9,48
playerbase,9,49
playerbase,10,42
playerbase,10,43
playerbase,10,44
playerbase,10,45
playerbase,10,46
playerbase,10,47
playerbase,10,48
playerbase,10,49
playerbase,11,44
playerbase,11,45
playerbase,11,46
playerbase,11,47
playerbase,11,48
playerbase,11,49
playerbase,12,45
playerbase,12,46
playerbase,12,47
playerbase,12,48
playerbase,12,49
playerbase,13,45
playerbase,13,46
playerbase,13,47
playerbase,13,48
playerbase,13,49
playerbase,14,46
playerbase,14,47
playerbase,14,48
playerbase,14,49
playerbase,15,47
playerbase,15,48
playerbase,15,49
playerbase,16,48
playerbase,16,49
playerbase,17,48
playerbase,17,49
playerbase,18,48
playerbase,18,49
playerbase,19,48
playerbase,19,49
playerbase,20,48
playerbase,20,49
playerbase,21,49
playerbase,22,49
playerbase,23,49
playerbase,24,49
playerbase,25,49
playerbase,26,49
playerbase,27,48
playerbase,27,49
playerbase,28,48
playerbase,28,49
playerbase,29,48
playerbase,29,49
playerbase,30,48
playerbase,30,49
playerbase,31,49
playerbase,32,49
playerbase,33,49
playerbase,34,49
playerbase,35,49
playerbase,36,48
playerbase,36,49
playerbase,37,47
playerbase,37,48
playerbase,37,49
playerbase,38,46
playerbase,38,47
playerbase,38,48
playerbase,38,49
playerbase,39,46
playerbase,39,47
playerbase,39,48
playerbase,39,49
playerbase,40,43
playerbase,40,44
playerbase,40,45
playerbase,40,46
playerbase,40,47
playerbase,40,48
playerbase,40,49
playerbase,41,42
playerbase,41,43
playerbase,41,44
playerbase,41,45
playerbase,41,46
playerbase,41,47
playerbase,41,48
playerbase,41,49
playerbase,42,42
playerbase,42,43
playerbase,42,44
playerbase,42,45
playerbase,42,46
playerbase,42,47
playerbase,42,48
playerbase,42,49
playerbase,43,0
playerbase,43,1
playerbase,43,2
playerbase,43,3
playerbase,43,42
playerbase,43,43
playerbase,43,44
playerbase,43,45
playerbase,43,46
playerbase,43,47
playerbase,43,48
playerbase,43,49
playerbase,44,0
playerbase,44,1
playerbase,44,2
playerbase,44,3
playerbase,44,4
playerbase,44,40
playerbase,44,41
playerbase,44,42
playerbase,44,43
playerbase,44,44
playerbase,44,45
playerbase,44,46
playerbase,44,47
playerbase,44,48
playerbase,44,49
playerbase,45,0
playerbase,45,1
playerbase,45,2
playerbase,45,3
playerbase,45,4
playerbase,45,39
playerbase,45,40
playerbase,45,41
playerbase,45,42
playerbase,45,43
playerbase,45,44
playerbase,45,45
playerbase,45,46
playerbase,45,47
playerbase,45,48
playerbase,45,49
playerbase,46,0
playerbase,46,1
playerbase,46,2
playerbase,46,3
playerbase,46,4
playerbase,46,5
playerbase,46,6
playerbase,46,7
playerbase,46,8
playerbase,46,9
playerbase,46,26
playerbase,46,27
playerbase,46,28
playerbase,46,29
playerbase,46,30
playerbase,46,31
playerbase,46,32
playerbase,46,33
playerbase,46,34
playerbase,46,35
playerbase,46,36
playerbase,46,37
playerbase,46,38
playerbase,46,39
playerbase,46,40
playerbase,46,41
playerbase,46,42
playerbase,46,43
playerbase,46,44
playerbase,46,45
playerbase,46,46
playerbase,46,47
playerbase,46,48
playerbase,46,49
playerbase,47,0
playerbase,47,1
playerbase,47,2
playerbase,47,3
playerbase,47,4
playerbase,47,5
playerbase,47,6
playerbase,47,7
playerbase,47,8
playerbase,47,9
playerbase,47,10
playerbase,47,11
playerbase,47,12
playerbase,47,26
playerbase,47,27
playerbase,47,28
playerbase,47,29
playerbase,47,30
playerbase,47,31
playerbase,47,32
playerbase,47,33
playerbase,47,34
playerbase,47,35
playerbase,47,36
playerbase,47,37
playerbase,47,38
playerbase,47,39
playerbase,47,40
playerbase,47,41
playerbase,47,42
playerbase,47,43
playerbase,47,44
playerbase,47,45
playerbase,47,46
playerbase,47,47
playerbase,47,48
playerbase,47,49
playerbase,48,0
playerbase,48,1
playerbase,48,2
playerbase,48,3
playerbase,48,4
playerbase,48,5
playerbase,48,6
playerbase,48,7
playerbase,48,8
playerbase,48,9
playerbase,48,10
playerbase,48,11
playerbase,48,12
playerbase,48,13
playerbase,48,14
playerbase,48,15
playerbase,48,16
playerbase,48,17
playerbase,48,18
playerbase,48,19
playerbase,48,20
playerbase,48,21
playerbase,48,22
playerbase,48,23
playerbase,48,24
playerbase,48,25
playerbase,48,26
playerbase,48,27
playerbase,48,28
playerbase,48,29
playerbase,48,30
playerbase,48,31
playerbase,48,32
playerbase,48,33
playerbase,48,34
playerbase,48,35
playerbase,48,36
playerbase,48,37
playerbase,48,38
playerbase,48,39
playerbase,48,40
playerbase,48,41
playerbase,48,42
playerbase,48,43
playerbase,48,44
playerbase,48,45
playerbase,48,46
playerbase,48,47
playerbase,48,48
playerbase,48,49
playerbase,49,0
playerbase,49,1
playerbase,49,2
playerbase,49,3
playerbase,49,4
playerbase,49,5
playerbase,49,6
playerbase,49,7
playerbase,49,8
playerbase,49,9
playerbase,49,10
playerbase,49,11
playerbase,49,12
playerbase,49,13
playerbase,49,14
playerbase,49,15
playerbase,49,16
playerbase,49,17
playerbase,49,18
playerbase,49,19
playerbase,49,20
playerbase,49,21
playerbase,49,22
playerbase,49,23
playerbase,49,24
playerbase,49,25
playerbase,49,26
playerbase,49,27
playerbase,49,28
playerbase,49,29
playerbase,49,30
playerbase,49,31
playerbase,49,32
playerbase,49,33
playerbase,49,34
playerbase,49,35
playerbase,49,36
playerbase,49,37
playerbase,49,38
playerbase,49,39
playerbase,49,40
playerbase,49,41
playerbase,49,42
playerbase,49,43
playerbase,49,44
playerbase,49,45
playerbase,49,46
playerbase,49,47
playerbase,49,48
playerbase,49,49
