"Name","IncomePerHour","BoatCapacity","ProtectedVillages"
"String","int","int","int"
1,0,500,0
,40,500,1
,80,1000,2
,120,1500,3
,160,2000,4
,200,2500,5
,240,3000,6
,280,3500,6
,320,4000,7
,360,4500,8
,400,5000,9
,440,5500,9
,480,6000,10
,520,6500,11
,560,7000,11
,600,7500,12
,640,8000,13
,680,8500,13
,720,9000,14
,760,9500,15
,800,10000,16
,840,10500,16
,880,11000,17
,920,11500,18
,960,12000,19
,1000,12500,19
,1040,13000,20
,1080,13500,21
,1120,14000,21
,1160,14500,22
,1200,15000,23
,1240,15500,24
,1280,16000,24
,1320,16500,25
,1360,17000,26
,1400,17500,27
,1440,18000,27
,1480,18500,28
,1520,19000,29
,1560,19500,30
,1600,20000,30
,1640,20500,31
,1680,21000,32
,1720,21500,32
,1760,22000,33
,1800,22500,34
,1840,23000,35
,1880,23500,35
,1920,24000,36
,1960,24500,37
,2000,25000,38
,2040,25500,39
,2080,26000,39
,2120,26500,40
,2160,27000,41
,2200,27500,42
,2240,28000,42
,2280,28500,43
,2320,29000,44
,2360,29500,45
,2400,30000,45
,2440,30500,46
,2480,31000,47
,2520,31500,48
,2560,32000,48
,2600,32500,49
,2640,33000,50
,2680,33500,51
,2720,34000,52
,2760,34500,52
,2800,35000,53
,2840,35500,54
,2880,36000,55
,2920,36500,55
,2960,37000,56
,3000,37500,57
,3040,38000,58
,3080,38500,59
,3120,39000,59
,3160,39500,60
,3200,40000,61
,3240,40500,62
,3280,41000,63
,3320,41500,63
,3360,42000,64
,3400,42500,65
,3440,43000,66
,3480,43500,67
,3520,44000,67
,3560,44500,68
,3600,45000,69
,3640,45500,70
,3680,46000,71
,3720,46500,71
,3760,47000,72
,3800,47500,73
,3840,48000,74
,3880,48500,75
,3920,49000,75
,3960,49500,76
,4000,50000,77
,4040,50500,78
,4080,51000,79
,4120,51500,80
,4160,52000,80
,4200,52500,81
,4240,53000,82
,4280,53500,83
,4320,54000,84
,4360,54500,84
,4400,55000,85
,4440,55500,86
,4480,56000,87
,4520,56500,88
,4560,57000,89
,4600,57500,89
,4640,58000,90
,4680,58500,91
,4720,59000,92
,4760,59500,93
,4800,60000,94
,4840,60500,94
,4880,61000,95
,4920,61500,96
,4960,62000,97
,5000,62500,98
,5040,63000,99
,5080,63500,100
,5120,64000,100
,5160,64500,101
,5200,65000,102
,5240,65500,103
,5280,66000,104
,5320,66500,105
,5360,67000,106
,5400,67500,106
,5440,68000,107
,5480,68500,108
,5520,69000,109
,5560,69500,110
,5600,70000,111
,5640,70500,112
,5680,71000,112
,5720,71500,113
,5760,72000,114
,5800,72500,115
,5840,73000,116
,5880,73500,117
,5920,74000,118
,5960,74500,119
,6000,75000,119
,6040,75500,120
,6080,76000,121
,6120,76500,122
,6160,77000,123
,6200,77500,124
,6240,78000,125
,6280,78500,126
,6320,79000,127
,6360,79500,127
,6400,80000,128
,6440,80500,129
,6480,81000,130
,6520,81500,131
,6560,82000,132
,6600,82500,133
,6640,83000,134
,6680,83500,135
,6720,84000,135
,6760,84500,136
,6800,85000,137
,6840,85500,138
,6880,86000,139
,6920,86500,140
,6960,87000,141
,7000,87500,142
,7040,88000,143
,7080,88500,144
,7120,89000,145
,7160,89500,145
,7200,90000,146
,7240,90500,147
,7280,91000,148
,7320,91500,149
,7360,92000,150
,7400,92500,151
,7440,93000,152
,7480,93500,153
,7520,94000,154
,7560,94500,155
,7600,95000,156
,7640,95500,156
,7680,96000,157
,7720,96500,158
,7760,97000,159
,7800,97500,160
,7840,98000,161
,7880,98500,162
,7920,99000,163
,7960,99500,164
,8000,100000,165
,8040,100500,166
,8080,101000,167
,8120,101500,168
,8160,102000,169
,8200,102500,170
,8240,103000,171
,8280,103500,172
,8320,104000,173
,8360,104500,174
,8400,105000,175
,8440,105500,176
,8480,106000,177
,8520,106500,178
,8560,107000,179
,8600,107500,180
,8640,108000,181
,8680,108500,182
,8720,109000,183
,8760,109500,184
,8800,110000,185
,8840,110500,186
,8880,111000,187
,8920,111500,188
,8960,112000,189
,9000,112500,190
,9040,113000,191
,9080,113500,192
,9120,114000,193
,9160,114500,194
,9200,115000,195
,9240,115500,196
,9280,116000,197
,9320,116500,198
,9360,117000,199
,9400,117500,200
,9440,118000,201
,9480,118500,202
,9520,119000,203
,9560,119500,204
,9600,120000,205
,9640,120500,206
,9680,121000,207
,9720,121500,208
,9760,122000,209
,9800,122500,210
,9840,123000,211
,9880,123500,212
,9920,124000,213
,9960,124500,214
,10000,125000,215
,10040,125500,216
,10080,126000,217
,10120,126500,218
,10160,127000,219
,10200,127500,220
,10240,128000,221
,10280,128500,222
,10320,129000,223
,10360,129500,224
,10400,130000,225
,10440,130500,226
,10480,131000,227
,10520,131500,228
,10560,132000,229
,10600,132500,230
,10640,133000,231
,10680,133500,232
,10720,134000,233
,10760,134500,234
,10800,135000,235
,10840,135500,236
,10880,136000,237
,10920,136500,238
,10960,137000,239
,11000,137500,240
,11040,138000,241
,11080,138500,242
,11120,139000,243
,11160,139500,244
,11200,140000,245
,11240,140500,246
,11280,141000,247
,11320,141500,248
,11360,142000,249
,11400,142500,250
,11440,143000,251
,11480,143500,252
,11520,144000,253
,11560,144500,254
,11600,145000,255
,11640,145500,256
,11680,146000,257
,11720,146500,258
,11760,147000,259
,11800,147500,260
,11840,148000,261
,11880,148500,262
,11920,149000,263
,11960,149500,264
,12000,150000,265
,12040,150500,266
,12080,151000,267
,12120,151500,268
,12160,152000,269
,12200,152500,270
,12240,153000,271
,12280,153500,272
,12320,154000,273
,12360,154500,274
,12400,155000,275
,12440,155500,276
,12480,156000,277
,12520,156500,278
,12560,157000,279
,12600,157500,280
,12640,158000,281
,12680,158500,282
,12720,159000,283
,12760,159500,284
,12800,160000,285
,12840,160500,286
,12880,161000,287
,12920,161500,288
,12960,162000,289
,13000,162500,290
,13040,163000,291
,13080,163500,292
,13120,164000,293
,13160,164500,294
,13200,165000,295
,13240,165500,296
,13280,166000,297
,13320,166500,298
,13360,167000,299
,13400,167500,300
