Name,TID,LevelFile,BaseLevelFile,Loot,ExpLevel,MatchmakingSkill,DefenseValue,IsOutpost,OutpostRes,OutpostProduction,UnitType,UnitCount,CommonArtifactPiecesFromTownHall,RareArtifactPiecesFromTownHall,EpicArtifactPiecesFromTownHall
String,String,String,String,String,int,int,int,boolean,int,int,String,int,int,int,int
tutorial1,TID_TUTORIAL1,level/tutorial/tutorial1.json,layout/small_a.level,"0,600,450,110,50",1,7,31,false,,,AI Units,4,,,
tutorial2,TID_TUTORIAL2,level/tutorial/tutorial2.json,layout/small_b.level,"0,600,450,110,50",1,3,29,false,,,AI Units,4,,,
tutorial3,TID_TUTORIAL3,level/tutorial/tutorial3.json,layout/mainland_a.level,"0,600,450,110,50",1,7,31,false,,,AI Units,4,,,
tutorial4,TID_TUTORIAL4,level/tutorial/tutorial4.json,layout/mainland_b.level,"0,900,680,170,70",3,66,68,false,,,AI Units,4,,,
tutorial5,TID_TUTORIAL5,level/tutorial/tutorial5.json,layout/small_a.level,"0,900,680,170,70",3,53,58,false,,,AI Units,4,,,
tutorial6,TID_TUTORIAL6,level/tutorial/tutorial6.json,layout/small_b.level,"0,600,450,110,50",1,22,39,false,,,AI Units,4,,,
tutorial7,TID_TUTORIAL7,level/tutorial/tutorial7.json,layout/mainland_a.level,"0,1600,820,210,90",6,115,109,false,,,AI Units,4,,,
tutorial8,TID_TUTORIAL8,level/tutorial/tutorial8.json,layout/small_b.level,"0,900,680,170,70",3,64,66,false,,,AI Units,4,,,
tutorial9,TID_TUTORIAL9,level/tutorial/tutorial9.json,layout/small_a.level,"0,900,680,170,70",3,61,64,false,,,AI Units,4,,,
tutorial10,TID_TUTORIAL10,level/tutorial/tutorial10.json,layout/mainland_a.level,"0,1300,740,190,80",4,87,84,false,,,AI Units,4,,,
tutorial11,TID_TUTORIAL11,level/tutorial/tutorial11.json,layout/mainland_b.level,"0,900,680,170,70",3,66,68,false,,,AI Units,4,,,
tutorial12,TID_TUTORIAL12,level/tutorial/tutorial12.json,layout/med_a.level,"0,1300,740,190,80",4,79,78,false,,,AI Units,4,,,
tutorial13,TID_TUTORIAL13,level/tutorial/tutorial13.json,layout/small_a.level,"0,600,450,110,50",1,21,38,false,,,AI Units,4,,,
tutorial14,TID_TUTORIAL14,level/tutorial/tutorial14.json,layout/small_b.level,"0,1600,820,210,90",6,106,101,false,,,AI Units,4,,,
tutorial15,TID_TUTORIAL15,level/tutorial/tutorial15.json,layout/mainland_a.level,"0,1600,820,210,90",6,107,102,false,,,AI Units,4,,,
tutorial16,TID_TUTORIAL16,level/tutorial/tutorial16.json,layout/mainland_b.level,"0,1600,820,210,90",6,107,102,false,,,AI Units,4,,,
tutorial17,TID_TUTORIAL17,level/tutorial/tutorial17.json,layout/small_a.level,"0,1300,740,190,80",4,77,76,false,,,AI Units,4,,,
mainland_a_00,TID_MAINLAND_A_00,level/base/mainland_a_00.json,layout/mainland_a.level,"0,600,450,110,50",1,3,29,false,,,,,,,
mainland_a_01,TID_MAINLAND_A_01,level/base/mainland_a_01.json,layout/mainland_a.level,"0,600,450,110,50",1,7,31,false,,,,,,,
mainland_a_02,TID_MAINLAND_A_02,level/base/mainland_a_02.json,layout/mainland_a.level,"0,800,590,150,60",2,36,47,false,,,,,,,
mainland_a_03,TID_MAINLAND_A_03,level/base/mainland_a_03.json,layout/mainland_a.level,"0,1600,820,210,90",6,118,112,false,,,,,,,
mainland_a_04,TID_MAINLAND_A_04,level/base/mainland_a_04.json,layout/mainland_a.level,"0,1900,1200,300,130",7,141,135,false,,,,,,,
mainland_a_05,TID_MAINLAND_A_05,level/base/mainland_a_05.json,layout/mainland_a.level,"0,1600,820,210,90",6,105,100,false,,,,,,,
mainland_a_06,TID_MAINLAND_A_06,level/base/mainland_a_06.json,layout/mainland_a.level,"0,1600,820,210,90",6,117,111,false,,,,,,,
mainland_a_07,TID_MAINLAND_A_07,level/base/mainland_a_07.json,layout/mainland_a.level,"0,1600,820,210,90",6,122,116,false,,,,,,,
mainland_a_08,TID_MAINLAND_A_08,level/base/mainland_a_08.json,layout/mainland_a.level,"0,1600,820,210,90",6,122,116,false,,,,,,,
mainland_a_09,TID_MAINLAND_A_09,level/base/mainland_a_09.json,layout/mainland_a.level,"0,2100,1400,350,150",8,153,148,false,,,,,,,
mainland_a_1,TID_MAINLAND_A_1,level/base/mainland_a_1.json,layout/mainland_a.level,"0,900,680,170,70",3,64,66,false,,,,,,,
mainland_a_2,TID_MAINLAND_A_2,level/base/mainland_a_2.json,layout/mainland_a.level,"0,1300,740,190,80",4,77,76,false,,,,,,,
mainland_a_3,TID_MAINLAND_A_3,level/base/mainland_a_3.json,layout/mainland_a.level,"0,1500,780,200,80",5,93,89,false,,,,,,,
mainland_a_4,TID_MAINLAND_A_4,level/base/mainland_a_4.json,layout/mainland_a.level,"0,900,680,170,70",3,69,70,false,,,,,,,
mainland_a_5,TID_MAINLAND_A_5,level/base/mainland_a_5.json,layout/mainland_a.level,"0,2200,1600,400,170",9,192,195,false,,,,,,,
mainland_a_6,TID_MAINLAND_A_6,level/base/mainland_a_6.json,layout/mainland_a.level,"0,2200,1600,400,170",9,170,168,false,,,,,,,
mainland_a_7,TID_MAINLAND_A_7,level/base/mainland_a_7.json,layout/mainland_a.level,"0,2900,2200,550,230",12,249,274,false,,,,,,,
