id,name,category,tid,info_tid,subtitle_tid,build_cost,hit_points,width,height,build_time_d,build_time_h,build_time_m,build_time_s,requier_town_hall_level,max_stored_resource,produces_resource,resource_per_hour,resource_max,unit_space,unit_production,unit_upgrades,regen_time,defense_value,attack_range,attack_speed,damage,air_targets,ground_targets,min_attack_range,damage_radius,damage_spread,push_back,creates_artifacts,artifact_type,artifact_capacity,deepsea_resource_reward,deepsea_common_artifact_chance,deepsea_rare_artifact_chance,deepsea_epic_artifact_chance,deepsea_random_factor,deepsea_price,is_map_room,starting_energy,max_energy,energy_gain,is_vault,is_hero_house,landing_boats,can_not_move,is_global_building,explorable_regions,reload_time,shots_before_reload,resource_protection_percent,damage_over_five_seconds,counters_armored,xp_gain,swf,export_name,export_name_npc,export_name_construction,model_name,texture_name,mesh_name,width,height,icon,export_name_build_anim,destroy_effect,attack_effect,attack_effect2,hit_effect,projectile,export_name_damaged,export_name_base,export_name_base_npc,pickup_effect,placing_effect,defender_character,defender_count,defender_z,export_name_tiggered,miss_effect,building_ready_effect,export_name_boss,proj_skewing,proj_y_scaling
1,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"50,0,0",10000,4,4,0,0,1,0,,"0,3000,2000,0,0",,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,sc/in-game.sc,townhall_lvl1,headquarters_enemy_lvl1,gen_construction_4,,,,5,5,,gen_construction_5,Empire HQ Destroyed,,,,,gen_destroyed_5,main_building_base,,Building Pickup,Building Placing,,,,,,Building Ready,npc_fortress_lvl1,10,90
2,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"600,0,0",11000,4,4,0,0,5,0,,"0,3000,2000,0,0",,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,townhall_lvl2,headquarters_enemy_lvl2,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
3,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"1900,0,0",12000,4,4,0,1,0,0,,"0,3000,2000,0,0",,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,townhall_lvl2,headquarters_enemy_lvl2,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
4,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"5900,0,0",14000,4,4,0,2,0,0,,"0,3000,2000,0,0",,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,townhall_lvl2,headquarters_enemy_lvl2,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
5,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"13000,0,0",16000,4,4,0,5,0,0,,"0,3000,2000,0,0",,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
6,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"25000,0,0",18000,4,4,0,6,0,0,,"0,3000,2000,2000,0",,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
7,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"33000,5800,0",20000,4,4,0,7,0,0,,"0,3000,2000,2000,0",,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
8,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"49000,9800,0",23000,4,4,0,8,0,0,,"0,3000,2000,2000,0",,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
9,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"81000,17800,0",26000,4,4,0,12,0,0,,"0,3000,2000,2000,2000",,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
10,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"126000,30000,8000",29000,4,4,0,14,0,0,,"0,3000,2000,2000,2000",,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
11,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"197000,50000,16000",33000,4,4,0,18,0,0,,"0,3000,2000,2000,2000",,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
12,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"268000,97000,28000",38000,4,4,0,20,0,0,,"0,3000,2000,2000,2000",,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
13,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"400000,189000,50000",43000,4,4,1,2,0,0,,"0,3000,2000,2000,2000",,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
14,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"570000,340000,97000",48000,4,4,1,12,0,0,,"0,3000,2000,2000,2000",,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
15,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"790000,690000,189000",55000,4,4,2,0,0,0,,"0,3000,2000,2000,2000",,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
16,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"1350000,1020000,370000",62000,4,4,2,14,0,0,,"0,3000,2000,2000,2000",,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
17,HQ,TownHall,TID_BUILDING_PALACE,TID_PALACE_INFO,TID_PALACE_SUBTITLE,"1900000,1700000,740000",70000,4,4,2,20,0,0,,"0,3000,2000,2000,2000",,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,townhall_lvl3,headquarters_enemy_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Building Ready,npc_fortress_lvl1,,
